id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,es_simulado,habilidades
21,System Engineer Requirements & Systemarchitektur (m/w/d),System Engineer Requirements & Systemarchitektur,MY Humancapital GmbH,Arbeitnow API,2026-07-10,,,,Gestión & Agile,"Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als „ System Engineer Requirements & Systemarchitektur (m/w/d) “. Aufgaben Als Systems Engineer (m/w/d) erstellen und pflegen Sie Systemanforderungen sowie technische Architekturen für komplexe Entwicklungsprojekte Zudem koordinieren Sie Anforderungen, Schnittstellen und technische Abstimmungen mit internen Fachbereichen und externen Partnern Auch begleiten Sie die Entwicklung mechanischer Komponenten und stellen Qualitäts-, Safety- und Funktionsanforderungen sicher Darüber hinaus steuern Sie Entwick",0,"Requirements Engineering,System Architecture"
22,Financial Analyst Corporate Finance (m/w/d),Financial Analyst Corporate Finance,MY Humancapital GmbH,Arbeitnow API,2026-07-10,,,,Data & Analytics,"Financial Analyst Corporate Finance (m/w/d) – Vollzeit | München | Homeoffice-Möglichkeit Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als „Financial Analyst Corporate Finance (m/w/d)“. Aufgaben Sie erstellen Businesspläne sowie Unternehmensplanungen und entwickeln wirtschaftliche Konzepte für neue Geschäftsfelder Als Ansprechpartner analysieren Sie Markt-, Wettbewerbs- und Branchenentwicklungen und leiten fundierte Handlungsempfehlungen ab Darüber hinaus führen Sie Unternehmensbewertungen durch und entwickeln passgenaue Finanzierungs- und Inve",0,"Business Planning,Financial Modeling,Market Analysis,Competitive Analysis,Industry Analysis,Valuation,Financing,Investment"
23,Testmanager Software und Systemtests (m/w/d),Testmanager Software und Systemtests (m/w/d),MY Humancapital GmbH,Arbeitnow API,2026-07-10,,,2.0,Data & Analytics,"Testmanager Software und Systemtests (m/w/d) gesucht – Vollzeit | München Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als „Testmanager Software und Systemtests (m/w/d)“. Aufgaben Sie planen, steuern und überwachen sämtliche Testaktivitäten innerhalb von Software- und Systemprojekten und stellen eine hohe Produktqualität sicher Sie erstellen Testkonzepte und Testspezifikationen, koordinieren die Durchführung von Tests und bewerten die erzielten Ergebnisse Darüber hinaus analysieren Sie Testabdeckung und Fehlerbilder, verfolgen Maßnahmen nach un",0,"Excel,SQL"
24,IT Business Analyst (m/w/d),IT Business Analyst,MY Humancapital GmbH,Arbeitnow API,2026-07-10,,,,Gestión & Agile,"Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als „IT Businessanalyst (m/w/d) “. Aufgaben Als Business Analyst (m/w/d) gestalten Sie die Weiterentwicklung digitaler Anwendungen und Geschäftsprozesse aktiv mit Sie analysieren fachliche Anforderungen, identifizieren Optimierungspotenziale und entwickeln nachhaltige Lösungsansätze Dabei begleiten Sie die Einführung neuer Funktionen und unterstützen die kontinuierliche Verbesserung bestehender Systeme und Prozesse In enger Zusammenarbeit mit Fachbereichen und IT fördern Sie eine erfolgreiche und eff",0,"Business Analysis,Process Optimization,System Development"
25,IT Projektmanager Software Implementierung (m/w/d),IT Projektmanager Software Implementierung,MY Humancapital GmbH,Arbeitnow API,2026-07-10,,,,Gestión & Agile,"Im Auftrag unser Partnerunternehmen in München suchen wir Sie als „IT Projektmanager Software Implementierung (m/w/d)“. Aufgaben Als IT Projektmanager (m/w/d) leiten und steuern Sie internationale Kundenprojekte zur Implementierung von Softwarelösungen im Bereich Instandhaltung und Flottenmanagement Als zentrale Schnittstelle koordinieren Sie die Zusammenarbeit zwischen Kunden, internen Fachbereichen und externen Dienstleistern Sie erfassen und analysieren Kundenanforderungen und überführen diese in strukturierte technische Spezifikationen und Arbeitspakete Darüber hinaus übernehmen Sie das Pr",0,"Software Implementierung,Anforderungsanalyse,Technische Spezifikationen"
26,(Senior) AI Engineer / MLOps Engineer (w/m/d),Senior AI Engineer / MLOps Engineer,Right Search,Arbeitnow API,2026-07-10,7272.72,9090.91,,Data & Analytics,"(Senior) AI Engineer / MLOps Engineer (w/m/d) München, Goetheplatz – Hybrid, 2–3 Tage Büro, 80.000 € – 100.000 € + VSOP Du willst nicht einfach Modelle trainieren, sondern eine MLOps-Infrastruktur bauen, die in der Produktion wirklich läuft? Hier geht es nicht um Research-Papers und Sandbox-Experimente. Hier geht es darum, KI-Lösungen für die Baubranche zu liefern – mit echtem Impact auf Lieferketten, CO₂ und Milliardenkosten. Unser Kunde Unser Kunde ist ein wachsendes Supply-Chain-SaaS-Start-up mit rund 50 Mitarbeitenden, das die Baubranche digitalisiert. Das Umfeld ist schnell, leistungsorie",0,"AI,MLOps,SaaS"
27,Senior SAP BTP Developer (m/w/d),Senior SAP BTP Developer,MY Humancapital GmbH,Arbeitnow API,2026-07-10,,,,Fullstack,"Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als „Senior SAP BTP Developer (m/w/d)“. Aufgaben Als Senior SAP BTP Developer (m/w/d) entwickeln und implementieren Sie komplexe Workflow- und Automatisierungslösungen auf Basis der SAP Business Technology Platform Zudem konzipieren Sie moderne UI- und Formularanwendungen mit SAP Build Apps, Fiori Elements und SAP UI5 und integrieren diese in bestehende Systemlandschaften Auch entwickeln Sie Backend-Services und Geschäftslogiken mit dem SAP Cloud Application Programming Model (CAP) auf Basis von Node",0,"SAP BTP,SAP Build Apps,Fiori Elements,SAP UI5,SAP Cloud Application Programming Model,Node.js"
28,Product Engineer (w/m/d),Product Engineer,Skalar,Arbeitnow API,2026-07-10,,,,Fullstack,"Product Engineer. Build v1 -> v10. Join the early core team of experienced entrepreneurs (scaled to millions of users, $100m+ exits). Build the future of tax & accounting with AI. Ship features end-to-end, influence the stack, and lay the foundations for scale. Grow into leadership as we expand across countries. Above-market pay + meaningful equity. The opportunity How taxation, accounting and payroll work today is a pain for everyone. Still every business must do it continuously. It is the backbone that our economy runs on. Enabled through AI, we are turning this often-painful process into a ",0,AI
29,Founding Engineer (w/m/d),Founding Engineer,Skalar,Arbeitnow API,2026-07-10,,,,Fullstack,"Founding Engineer. Build v1 -> v10. Join the early core team of experienced entrepreneurs (scaled to millions of users, $100m+ exits). Build the future of tax & accounting with AI. Ship features end-to-end, influence the stack, and lay the foundations for scale. Grow into leadership as we expand across countries. Above-market pay + meaningful equity. The opportunity How taxation, accounting and payroll work today is a pain for everyone. Still every business must do it continuously. It is the backbone that our economy runs on. Enabled through AI, we are turning this often-painful process into a",0,"System Architecture,AI"
30,Investment Analyst mit Marketingerfahrung (m/w/d),Investment Analyst mit Marketingerfahrung,FinMent GmbH,Arbeitnow API,2026-07-10,,,,Data & Analytics,"Unsere Mission: “Lass Dein Geld noch effizienter für Dich arbeiten!” Wir sind FinMent - ein schnell wachsendes, zweifach staatlich zertifiziertes FinTech Startup in Berlin. Wir demokratisieren das Wissen und den Zugang zur institutionellen Geldanlage mithilfe von innovativen Technologien, geprüftem Finanzwissen und exklusiven Strategien, die bisher nur institutionellen Investoren (Family Offices) mit +200 Millionen Euro Mindestkapital vorbehalten waren. Neben vielen weiteren Benefits erhälst du exklusiv: Deine finanzielle Freiheit mit zusätzlichem Börseneinkommen: Als Teil vom inneren Kreis er",0,"Finanzanalyse,Marketing"
31,Duales Studium - Web Developer (m/w/d),Dual Studium - Web Developer,FinMent GmbH,Arbeitnow API,2026-07-10,,,,Fullstack,"Unsere Mission: “Lass Dein Geld noch effizienter für Dich arbeiten!” Wir sind FinMent - ein schnell wachsendes, zweifach staatlich zertifiziertes FinTech Startup in Berlin. Wir demokratisieren das Wissen und den Zugang zur institutionellen Geldanlage mithilfe von innovativen Technologien, geprüftem Finanzwissen und exklusiven Strategien, die bisher nur institutionellen Investoren (Family Offices) mit +200 Millionen Euro Mindestkapital vorbehalten waren. Neben vielen weiteren Benefits erhälst du exklusiv: Deine finanzielle Freiheit mit zusätzlichem Börseneinkommen: Als Teil vom inneren Kreis er",0,Web Development
32,Full Stack Devloper (m/w/d) - Node.js / React,Full Stack Developer,FinMent GmbH,Arbeitnow API,2026-07-10,,,,Fullstack,"Unsere Mission: “Lass Dein Geld noch effizienter für Dich arbeiten!” Wir sind FinMent - ein schnell wachsendes, zweifach staatlich zertifiziertes FinTech Startup in Berlin. Wir demokratisieren das Wissen und den Zugang zur institutionellen Geldanlage mithilfe von innovativen Technologien, geprüftem Finanzwissen und exklusiven Strategien, die bisher nur institutionellen Investoren (Family Offices) mit +200 Millionen Euro Mindestkapital vorbehalten waren. Neben vielen weiteren Benefits erhälst du exklusiv: Deine finanzielle Freiheit mit zusätzlichem Börseneinkommen: Als Teil vom inneren Kreis er",0,"Node.js,React"
33,Junior Web Developer (m/w/d) -  Node.js / React,Junior Web Developer,FinMent GmbH,Arbeitnow API,2026-07-10,,,,Fullstack,"Unsere Mission: “Lass Dein Geld noch effizienter für Dich arbeiten!” Wir sind FinMent - ein schnell wachsendes, zweifach staatlich zertifiziertes FinTech Startup in Berlin. Wir demokratisieren das Wissen und den Zugang zur institutionellen Geldanlage mithilfe von innovativen Technologien, geprüftem Finanzwissen und exklusiven Strategien, die bisher nur institutionellen Investoren (Family Offices) mit +200 Millionen Euro Mindestkapital vorbehalten waren. Neben vielen weiteren Benefits erhälst du exklusiv: Deine finanzielle Freiheit mit zusätzlichem Börseneinkommen: Als Teil vom inneren Kreis er",0,"Node.js,React"
34,Robot Perception/ML Engineer (f/m/d) Autonomous Mobile Robots,Robot Perception/ML Engineer,Magazino GmbH,Arbeitnow API,2026-07-10,,,,Data & Analytics,"Your tasks You develop and improve perception models for autonomous mobile robots, including object detection, obstacle classification, and free-space estimation You drive data-centric machine learning by scaling automated labeling, leveraging fleet data, and closing the sim2real gap through synthetic data and simulation-based evaluation You own model performance by defining benchmarks, tracking key metrics, and continuously improving real-world and benchmark results You deploy and validate perception models within our ROS-based robot software stack, ensuring reliable performance on real vehic",0,"Machine Learning,Object Detection,ROS,Synthetic Data,Simulation"
35,Robot Perception/ML Engineer (w/m/d) Autonomous Mobile Robots,Robot Perception/ML Engineer,Magazino GmbH,Arbeitnow API,2026-07-10,,,,Data & Analytics,"Deine Aufgaben Du entwickelst und verbesserst Wahrnehmungsmodelle für autonome mobile Roboter, darunter Objekterkennung, Hindernisklassifizierung und Freiraumerkennung Du treibst datengetriebene Machine-Learning-Lösungen voran, indem Du automatisierte Labeling-Prozesse skalierst, Flottendaten nutzt und die Sim2Real-Lücke durch synthetische Daten und simulationsbasierte Evaluierung schließt Du verantwortest die Modellperformance, definierst aussagekräftige Benchmarks, verfolgst relevante Metriken und erzielst kontinuierliche Verbesserungen im realen Einsatz sowie auf Benchmark-Ebene Du integrie",0,"Machine Learning,Object Detection,Simulation,Computer Vision,Sim2Real"
36,IT Projektmanager Softwareentwicklung (m/w/d),IT Projektmanager Softwareentwicklung,MY Humancapital GmbH,Arbeitnow API,2026-07-10,,,,Gestión & Agile,"IT Projektmanager Softwareentwicklung (m/w/d) - Vollzeit | München | Unbefristet | Homeoffice-Möglichkeit Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als „SAP Inhouse Consultant Business Partner (m/w/d)“. Aufgaben Sie leiten IT-Projekte zur Weiterentwicklung geschäftskritischer Softwarelösungen und steuern diese hinsichtlich Qualität, Zeit und Budget Gemeinsam mit Fachbereichen, internen IT-Teams und externen Softwarepartnern entwickeln Sie nachhaltige und wirtschaftliche Lösungen Sie analysieren fachliche Anforderungen, erstellen Lösungskonze",0,"Softwareentwicklung,SAP"
37,Senior Microsoft Cloud Transformation Architect (m/w/d),Senior Microsoft Cloud Transformation Architect,think about IT GmbH,Arbeitnow API,2026-07-10,,,,DevOps & Cloud,"Die thinkGROUP ist eine erfolgreiche Systemhausgruppe, die ständig nach Innovation strebt und großen Wert auf die kontinuierliche Optimierung unserer internen Prozesse legt. Die Nutzung modernster Technologien ist kein Selbstzweck, sondern die Ausprägung unseres Innovationsgeistes und gelebter Kundenorientierung. Hervorragender IT-Service bedarf optimaler Systeme. Unser motiviertes Team gibt täglich sein Bestes, um unsere Kunden immer wieder neu zu begeistern. Wir suchen Dich zum nächstmöglichen Zeitpunkt als Teammitglied unseres Fachbereichs Cloud Computing & AI am Standort Nürnberg . Werde T",0,"AI,Microsoft Cloud,Cloud Computing"
38,SAP Data & Analytics Consultant (m/w/d),SAP Data & Analytics Consultant,Pertemps ERP,Arbeitnow API,2026-07-10,,,,Data & Analytics,SAP Data & Analytics Consultant (m/w/d) – SAP Datasphere 📍 Remote innerhalb Deutschlands | Unbefristete Festanstellung Für ein etabliertes Beratungshaus mit Spezialisierung auf SAP Data & Analytics sowie Enterprise Performance Management suchen wir einen erfahrenen SAP Data & Analytics Consultant (m/w/d) mit Schwerpunkt SAP Datasphere . Du arbeitest an anspruchsvollen Kundenprojekten rund um moderne Data- und Analytics-Plattformen und begleitest Unternehmen bei der Transformation ihrer SAP-Landschaften. Aufgaben Konzeption und Implementierung moderner Data-&-Analytics-Lösungen auf Basis von SA,0,"SAP,SAP Datasphere,SAP Data & Analytics"
39,Senior Azure Cloud Platform Architect (m/w/d),Senior Azure Cloud Platform Architect (m/w/d),think about IT GmbH,Arbeitnow API,2026-07-10,,,1.0,Frontend,"Die thinkGROUP ist eine erfolgreiche Systemhausgruppe, die ständig nach Innovation strebt und großen Wert auf die kontinuierliche Optimierung unserer internen Prozesse legt. Die Nutzung modernster Technologien ist kein Selbstzweck, sondern die Ausprägung unseres Innovationsgeistes und gelebter Kundenorientierung. Hervorragender IT-Service bedarf optimaler Systeme. Unser motiviertes Team gibt täglich sein Bestes, um unsere Kunden immer wieder neu zu begeistern. Wir suchen Dich zum nächstmöglichen Zeitpunkt als Teammitglied unseres Fachbereichs Cloud Computing & AI am Standort Nürnberg . Werde T",0,Azure
40,Senior Microsoft AI & Copilot Engineer (m/w/d),Senior Microsoft AI & Copilot Engineer,think about IT GmbH,Arbeitnow API,2026-07-10,,,,Data & Analytics,"Die thinkGROUP ist eine erfolgreiche Systemhausgruppe, die ständig nach Innovation strebt und großen Wert auf die kontinuierliche Optimierung unserer internen Prozesse legt. Die Nutzung modernster Technologien ist kein Selbstzweck, sondern die Ausprägung unseres Innovationsgeistes und gelebter Kundenorientierung. Hervorragender IT-Service bedarf optimaler Systeme. Unser motiviertes Team gibt täglich sein Bestes, um unsere Kunden immer wieder neu zu begeistern. Wir suchen Dich zum nächstmöglichen Zeitpunkt als Teammitglied unseres Fachbereichs Cloud Computing & AI am Standort Nürnberg . Werde T",0,"Cloud Computing,Microsoft AI,Copilot"
41,Senior Linux Developer – Linux Recovery System (m/w/d) (Ref.Nr.: 47214),Senior Linux Developer,Wavestone Germany AG,Arbeitnow API,2026-07-10,,,,Backend,"Wir suchen einen Senior Developer für die Wartung und Weiterentwicklung eines Linux Recovery Systems für Server in Schienenfahrzeugen. Die Aufgabe umfasst die Betreuung eines spezialisierten Recovery-Betriebssystems, das zur Behebung von Hardware-Defekten und zur Durchführung von Neu-Installationen in einem anspruchsvollen mobilen Umfeld dient. Key Facts Start: 17.08.2026 Dauer: Nicht bekannt Auslastung: 0 % Einsatzart: Einsatzort: Remote Einsatzland: Deutschland Ihre Aufgaben • Programmierung / Implementierung / Customizing technischer Komponenten in Applikationen auf Basis der genutzten Tech",0,"Linux,Recovery Systems,Embedded Systems"
42,Applied Scientist / Machine Learning Engineer,Applied Scientist / Machine Learning Engineer,Wolt - English,Arbeitnow API,2026-07-10,,,,Data & Analytics,"About Wolt At Wolt, we create technology that brings joy, simplicity and earnings to the neighborhoods of the world. In 2014 we started with delivery of restaurant food. Now we're building the delivery of (almost) everything and you'll find us in over 500 cities in 30 countries around the world. In 2022 we joined forces with DoorDash and together we keep on dreaming big and expanding across the globe. Working at Wolt isn't always easy, but it's definitely exciting. Here you'll learn more, build more, and ship more than in most other companies. You'll be challenged a lot, but also have a lot of",0,
43,IT-Forensiker / Analysten (mIwId),IT-Forensiker / Analysten,LeySelect GmbH,Arbeitnow API,2026-07-10,,,,Soporte & IT,"Unser Mandant ist ein spezialisiertes Beratungsunternehmen im Bereich 𝗖𝘆𝗯𝗲𝗿 𝗦𝗲𝗰𝘂𝗿𝗶𝘁𝘆. Es bietet individuelle, nachhaltige Lösungen und setzt auf langfristige, vertrauensvolle Kundenbeziehungen. Mit fundierter Erfahrung in 𝗦𝗲𝗰𝘂𝗿𝗶𝘁𝘆 𝗜𝗻𝗰𝗶𝗱𝗲𝗻𝘁 𝗥𝗲𝘀𝗽𝗼𝗻𝘀𝗲, 𝗜𝗧-𝗙𝗼𝗿𝗲𝗻𝘀𝗶𝗸 und 𝗞𝗿𝗶𝘀𝗲𝗻𝗺𝗮𝗻𝗮𝗴𝗲𝗺𝗲𝗻𝘁 unterstützt unser Mandant seine Kunden beim Schutz sensibler Daten und Systeme. Zur Verstärkung des Teams suchen wir ab sofort einen 𝗜𝗧-𝗙𝗼𝗿𝗲𝗻𝘀𝗶𝗸𝗲𝗿 / 𝗔𝗻𝗮𝗹𝘆𝘀𝘁𝗲𝗻 (𝗺𝗜𝘄𝗜𝗱), der gemeinsam mit erfahrenen Experten an spannenden Projekten arbeitet und zur digitalen Sicherheit unserer Kunden beiträgt. Starte jetzt deine Karri",0,"Cyber Security,Security Incident Response,IT-Forensik,Krisenmanagement"
44,Product Manager / Business Analyst (m/w/d) - Enterprise Banking,Product Manager / Business Analyst,XALT Business Consulting GmbH,Arbeitnow API,2026-07-10,,,,Gestión & Agile,"XALT Business Consulting is an Atlassian Platinum Solution Partner specializing in enterprise IT transformation. We work with leading organizations — including Deutsche Bank, BSH, and AXA — to structure and advance their product landscapes and digital processes. Tasks Own one or two complex enterprise products in a regulated banking environment end-to-end Work with stakeholders from Business, Engineering, and Compliance to translate requirements into clear product decisions Structure backlogs, prioritize decisively, and manage cross-team dependencies Operate outside classical Scrum — strategic",0,"Business Analysis,Atlassian Suite,Scrum,Product Management"
45,Lead QA Engineer (m/f/d) - Test Automation & Modernization,Lead QA Engineer,XALT Business Consulting GmbH,Arbeitnow API,2026-07-10,,,,Gestión & Agile,"XALT Business Consulting is an Atlassian Platinum Solution Partner specializing in enterprise IT transformation. We support organizations like Deutsche Bank, BSH, and AXA in transitioning their engineering teams from legacy processes to modern, automated delivery pipelines. Tasks Lead the build-out and modernization of the QA strategy at Deutsche Bank Design and scale automated test frameworks — from unit to end-to-end tests Move teams away from manual Excel-based testing toward specialized tooling (Allure, Tricentis, Xray) Drive adoption of Cucumber + Java/JS for behavior-driven testing Act a",0,"Java,JavaScript,Test Automation,Allure,Tricentis,Xray,Cucumber"
46,Senior Fullstack Developer (m/w/d),Senior Fullstack Developer,Envidual,Arbeitnow API,2026-07-10,,,,Fullstack,"Wir entwickeln Systeme, an denen das operative Geschäft unserer Kunden hängt: Anwendungen für Schadenregulierung, Provisionierung, Vertriebssteuerung, ERP- und Logistikprozesse sowie digitale Kunden- und Partnerportale. Wenn solche Systeme nicht funktionieren, entsteht nicht nur ein schlechtes Nutzererlebnis. Es entstehen Fehler, Verzögerungen, Kosten und im Zweifel echte Geschäftsrisiken. Solche Systeme entstehen nicht durch zusätzliche Kapazität und sauber verwaltete Übergaben. Sie entstehen durch Teams, die das Problem als Ganzes verstehen und Verantwortung dafür übernehmen. Genau dafür gib",0,
47,"Werkstudent:in DevOps, Infrastruktur & Automatisierung (m/w/d) | IT- & OT-Sicherheit - 100% remote (only from Germany)","Werkstudent:in DevOps, Infrastruktur & Automatisierung",Yekta IT GmbH,Arbeitnow API,2026-07-10,,,,DevOps & Cloud,"Du willst neben dem Studium an echter Infrastruktur arbeiten und nicht an Übungsaufgaben? Du hast Interesse daran, wie man Infrastruktur automatisiert, als Code baut und absichert? Dann bist du bei uns richtig. Yekta IT ist ein Familienunternehmen für herstellerunabhängige IT- und OT-Sicherheitsberatung aus Dortmund. Wir prüfen und härten die Systeme kritischer Betreiber, vom Mittelständler bis zum Konzern. Wir arbeiten bis zu 100% remote aus Deutschland. Gleichzeitig bieten wir unserem Team flexible Arbeitszeiten, Zugang zur Weiterbildung und eine unterstützende Unternehmenskultur. Der Umfang",0,"DevOps,Infrastruktur als Code (IaC),Automatisierung,IT-Sicherheit,OT-Sicherheit"
